Serial Number,Part #,Cells,Cracks,Dry Mix,Blisters,Molded in Flash,Improper Sanding,Non-Fills,Chips,Pits,IMC Short Shots,IMC Blisters,Test Parts,Press/Equip Malfunction,Wavy,IMC Peel,IMC Chips,Teardown,IMC Tracks,External Trials,Holes Off,Dips,Paint Sags/Drips,Poor Repair,Too Heavy
30f269fbfe8019810c640091,BDH64236,Press 9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30f269fbfe8019c18c640060,BDR94728,Press 11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30f269fbfe8019c18c640061,BDR94728,Press 11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30f269fbfe8019018c640080,KR3V16615A,Press 10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30f269fbfe8019018c640081,KR3V16615A,Press 10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30f269fbfe8019c18c640064,BDR94728,Press 11,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30f269fbfe8019018c640085,KR3V16615A,Press 10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30f269fbfe8019018c640087,KR3V16615A,Press 10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30f269fbfe8019018c640090,KR3V16615A,Press 10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30f269fbfe8019018c640091,KR3V16615A,Press 10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30f269fbfe8019810c6400a9,BDH64236,Press 9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30f269fbfe800a800c64007d,HL3V16015AE,Press 4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
30f269fbfe800ac10c64007d,HL3V16016AD,Press 4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
30f269fbfe8014800c6400db,ANR28253,Press 13,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30f269fbfe8019c18c640082,BDR94728,Press 11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30f269fbfe8019018c640096,KR3V16615A,Press 10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30f269fbfe8014800c6400f5,ANR28253,Press 13,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
30f269fbfe800a800c640088,HL3V16015AE,Press 4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30f269fbfe8013800c62001b,ZV5403,Zerv Fender Bonder,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30f269fbfe8014800c64010a,ANR28253,Press 13,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
30f269fbfe8014800c64010b,ANR28253,Press 13,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
30f269fbfe8014800c64010f,ANR28253,Press 13,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
30f269fbfe8019810c6400be,BDH64236,Press 9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30f269fbfe8019810c6400c7,BDH64236,Press 9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
